offense_id,occur_date,occur_time,MinOfucr,Shift,Avg Day,UC2 Literal,neighborhood,x,y
90251053,1/23/09,8:00:00,521,Unk,Unk,BURGLARY-RESIDENCE,Midtown,-84.38752,33.7805
90251158,1/25/09,17:30:00,690,Eve,Sun,LARCENY-NON VEHICLE,Midtown,-84.39057,33.7867
90260173,1/26/09,3:20:00,312,Morn,Mon,ROBBERY-COMMERCIAL,Midtown,-84.39073,33.79894
90260462,1/26/09,6:55:00,640,Day,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38491,33.77224
90260529,1/26/09,9:00:00,660,Day,Mon,LARCENY-NON VEHICLE,Midtown,-84.38222,33.78437
90260625,1/25/09,19:30:00,512,Eve,Sun,BURGLARY-NONRES,Midtown,-84.3882,33.78937
90260654,1/25/09,19:00:00,640,Morn,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38515,33.78485
90261021,1/26/09,11:00:00,670,Day,Mon,LARCENY-NON VEHICLE,Midtown,-84.38298,33.78099
90261097,1/26/09,13:05:00,640,Day,Mon,LARCENY-FROM VEHICLE,Midtown,-84.3854,33.79121
90261427,1/12/09,17:00:00,690,Unk,Tue,LARCENY-NON VEHICLE,Midtown,-84.38035,33.78508
90261783,1/26/09,19:30:00,640,Eve,Mon,LARCENY-FROM VEHICLE,Midtown,-84.38482,33.77756
90270682,1/26/09,17:00:00,640,Morn,Tue,LARCENY-FROM VEHICLE,Midtown,-84.37158,33.77784
90271115,1/27/09,13:00:00,670,Day,Tue,LARCENY-NON VEHICLE,Midtown,-84.38719,33.77692
90271171,1/26/09,0:01:00,650,Unk,Mon,LARCENY-FROM VEHICLE,Midtown,-84.37867,33.78218
90271504,1/27/09,9:30:00,710,Day,Tue,AUTO THEFT,Midtown,-84.38771,33.78511
90272038,1/27/09,20:30:00,640,Eve,Tue,LARCENY-FROM VEHICLE,Midtown,-84.3676,33.77973
90280095,1/28/09,1:15:00,610,Morn,Wed,LARCENY-NON VEHICLE,Midtown,-84.38946,33.78123
90280654,12/7/08,12:00:00,650,Unk,Unk,LARCENY-FROM VEHICLE,Midtown,-84.38718,33.77773
90280733,1/4/09,20:00:00,720,Morn,Mon,AUTO THEFT,Midtown,-84.371,33.79392
90281019,1/23/09,18:00:00,670,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.38298,33.78099
90281065,1/28/09,13:45:00,630,Day,Wed,LARCENY-NON VEHICLE,Midtown,-84.36561,33.77469
90282089,1/28/09,22:15:00,640,Eve,Wed,LARCENY-FROM VEHICLE,Midtown,-84.37585,33.77365
90290630,1/24/09,9:00:00,660,Unk,Unk,LARCENY-NON VEHICLE,Midtown,-84.3821,33.78465
90290693,1/26/09,9:00:00,730,Unk,Unk,AUTO THEFT,Midtown,-84.38478,33.77655
90292054,1/29/09,20:20:00,720,Eve,Thu,AUTO THEFT,Midtown,-84.38728,33.77873
90300170,1/30/09,1:43:00,420,Morn,Fri,AGG ASSAULT,Midtown,-84.38025,33.78116
90300721,1/30/09,9:30:00,420,Day,Fri,AGG ASSAULT,Midtown,-84.38339,33.78398
90301081,1/30/09,12:00:00,640,Day,Fri,LARCENY-FROM VEHICLE,Midtown,-84.38628,33.78456
90301247,1/30/09,8:00:00,670,Day,Fri,LARCENY-NON VEHICLE,Midtown,-84.37151,33.78119
