ID,Date,Time,Rating,Day,Neighborhood,Lat,Long,CrimeDetail,CrimeType,Address
90250800,1/25/09,2:30:00,640,Sun,Midtown,-84.37607,33.77352,Larceny-From Vehicle,Larceny,694 Durant Pl
90260654,1/25/09,19:00:00,640,Mon,Midtown,-84.38515,33.78485,Larceny-From Vehicle,Larceny,76 12Th St. Ne.
90260625,1/25/09,19:30:00,512,Sun,Midtown,-84.3882,33.78937,Burglary-Nonres,Burglary,1270 W Peachtree St Nw
90250702,1/25/09,11:20:00,512,Sun,Midtown,-84.38911,33.78536,Burglary-Nonres,Burglary,1127 Spring St Nw
90250446,1/25/09,2:00:00,690,Sun,Midtown,-84.38922,33.77425,Larceny-Non Vehicle,Larceny,714 Spring St Nw
90251158,1/25/09,17:30:00,690,Sun,Midtown,-84.39057,33.7867,Larceny-Non Vehicle,Larceny,14Th St Ne/ Williams St Ne
90270682,1/26/09,17:00:00,640,Tue,Midtown,-84.37158,33.77784,Larceny-From Vehicle,Larceny,854 Vedado Way Ne
90271171,1/26/09,0:01:00,650,Mon,Midtown,-84.37867,33.78218,Larceny-From Vehicle,Larceny,250 10Th St Ne
90260529,1/26/09,9:00:00,660,Mon,Midtown,-84.38222,33.78437,Larceny-Non Vehicle,Larceny,1101 21St. St
90261021,1/26/09,11:00:00,670,Mon,Midtown,-84.38298,33.78099,Larceny-Non Vehicle,Larceny,999 Peachtree St Ne
90290693,1/26/09,9:00:00,730,Unk,Midtown,-84.38478,33.77655,Auto Theft,Auto Theft,800 Peachtree St Ne
90261783,1/26/09,19:30:00,640,Mon,Midtown,-84.38482,33.77756,Larceny-From Vehicle,Larceny,842 Peachtree St Ne
90260462,1/26/09,6:55:00,640,Mon,Midtown,-84.38491,33.77224,Larceny-From Vehicle,Larceny,100 Ponce De Leon Ave Ne
90261097,1/26/09,13:05:00,640,Mon,Midtown,-84.3854,33.79121,Larceny-From Vehicle,Larceny,1337 Peachtree St Ne
90260173,1/26/09,3:20:00,312,Mon,Midtown,-84.39073,33.79894,Robbery-Commercial,Robbery,1641 Peachtree St Ne
90272038,1/27/09,20:30:00,640,Tue,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
90271115,1/27/09,13:00:00,670,Tue,Midtown,-84.38719,33.77692,Larceny-Non Vehicle,Larceny,817 W Peachtree St Ne
90271504,1/27/09,9:30:00,710,Tue,Midtown,-84.38771,33.78511,Auto Theft,Auto Theft,1119 W Peachtree
90281065,1/28/09,13:45:00,630,Wed,Midtown,-84.36561,33.77469,Larceny-Non Vehicle,Larceny,650 Ponce De Leon Ave Ne
90282089,1/28/09,22:15:00,640,Wed,Midtown,-84.37585,33.77365,Larceny-From Vehicle,Larceny,3Rd St Ne / Durant Pl Ne;
90631605,1/28/09,12:00:00,720,Wed,Midtown,-84.38006,33.78508,Auto Theft,Auto Theft,223 13Th St Ne
90280095,1/28/09,1:15:00,610,Wed,Midtown,-84.38946,33.78123,Larceny-Non Vehicle,Larceny,970 Spring St Nw
90292054,1/29/09,20:20:00,720,Thu,Midtown,-84.38728,33.77873,Auto Theft,Auto Theft,7Th St Ne / W Peachtree St Nw
90310182,1/30/09,21:45:00,650,Fri,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
90302038,1/30/09,21:30:00,640,Fri,Midtown,-84.36869,33.78174,Larceny-From Vehicle,Larceny,10Th St Ne / Monroe Dr
90301247,1/30/09,8:00:00,670,Fri,Midtown,-84.37151,33.78119,Larceny-Non Vehicle,Larceny,929 Charles Allen Dr Ne
90300170,1/30/09,1:43:00,420,Fri,Midtown,-84.38025,33.78116,Agg Assault,Agg Assault,971 Piedmont Ave Ne;
90300721,1/30/09,9:30:00,420,Fri,Midtown,-84.38339,33.78398,Agg Assault,Agg Assault,1080 Peachtree St Ne;
90302060,1/30/09,19:45:00,720,Fri,Midtown,-84.38494,33.77306,Auto Theft,Auto Theft,678 Peachtree St Ne
90301081,1/30/09,12:00:00,640,Fri,Midtown,-84.38628,33.78456,Larceny-From Vehicle,Larceny,12Th St Ne / Peachtree Walk Ne
90301607,1/30/09,8:00:00,640,Fri,Midtown,-84.38665,33.79217,Larceny-From Vehicle,Larceny,1382 Peachtree St Ne
90301665,1/30/09,17:30:00,640,Fri,Midtown,-84.38772,33.78346,Larceny-From Vehicle,Larceny,1051 W Peachtree St Ne
90361225,1/30/09,14:00:00,670,Unk,Midtown,-84.388,33.7969,Larceny-Non Vehicle,Larceny,1545 Peachtree St Ne
90320773,1/31/09,22:00:00,650,Sun,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
90330343,1/31/09,13:00:00,720,Unk,Midtown,-84.38246,33.78083,Auto Theft,Auto Theft,955 Juniper St Ne
90310993,1/31/09,0:00:00,690,Sat,Midtown,-84.3837,33.78595,Larceny-Non Vehicle,Larceny,1150 Peachtree St Ne
90311167,1/31/09,14:30:00,630,Sat,Midtown,-84.38497,33.7727,Larceny-Non Vehicle,Larceny,72 Alabama St
90310214,1/31/09,0:30:00,640,Sat,Midtown,-84.38632,33.77935,Larceny-From Vehicle,Larceny,27 8Th St Ne
90321342,2/1/09,15:00:00,650,Sun,Midtown,-84.36724,33.77524,Larceny-From Vehicle,Larceny,597 Saint Charles Ave Ne
90321406,2/1/09,20:50:00,640,Sun,Midtown,-84.37596,33.77343,Larceny-From Vehicle,Larceny,694 Durant Pl Ne
90321540,2/1/09,23:00:00,640,Sun,Midtown,-84.37869,33.77206,Larceny-From Vehicle,Larceny,265 Ponce De Leon Ave Ne
90321180,2/1/09,15:00:00,640,Sun,Midtown,-84.37987,33.77992,Larceny-From Vehicle,Larceny,926 Myrtle St Ne
90320121,2/1/09,0:50:00,710,Sun,Midtown,-84.38449,33.77258,Auto Theft,Auto Theft,659 Peachtree St Ne
90321275,2/1/09,18:29:00,660,Sun,Midtown,-84.38752,33.7805,Larceny-Non Vehicle,Larceny,950 W Peachtree St Nw
90331119,2/2/09,8:00:00,640,Mon,Midtown,-84.38341,33.78704,Larceny-From Vehicle,Larceny,1180 Peachtree St Ne;
90340405,2/2/09,22:30:00,650,Tue,Midtown,-84.38978,33.79766,Larceny-From Vehicle,Larceny,955  Juniper  St Ne
90341010,2/3/09,13:10:00,420,Tue,Midtown,-84.36561,33.77469,Agg Assault,Agg Assault,650 Ponce De Leon Ave Ne
90342151,2/3/09,22:45:00,640,Tue,Midtown,-84.37622,33.77846,Larceny-From Vehicle,Larceny,875 Glendale Ter Ne
90360763,2/3/09,16:30:00,630,Tue,Midtown,-84.38049,33.78206,Larceny-Non Vehicle,Larceny,1000 Piedmont Ave Ne
90340486,2/3/09,4:35:00,640,Tue,Midtown,-84.38389,33.77798,Larceny-From Vehicle,Larceny,855 Peachtree St Ne
90351138,2/3/09,15:00:00,670,Wed,Midtown,-84.38532,33.79209,Larceny-Non Vehicle,Larceny,1365 Peachtree St Ne
90342179,2/3/09,19:50:00,720,Tue,Midtown,-84.38765,33.77454,Auto Theft,Auto Theft,728 W Peachtree St Nw
90341482,2/3/09,7:25:00,640,Tue,Midtown,-84.3882,33.78937,Larceny-From Vehicle,Larceny,1270 W Peachtree St Nw
90360813,2/4/09,22:00:00,512,Thu,Midtown,-84.36902,33.78031,Burglary-Nonres,Burglary,931 Monroe Dr Ne
90371360,2/5/09,20:30:00,650,Fri,Midtown,-84.371,33.79392,Larceny-From Vehicle,Larceny,268 Westminster Dr Ne
90360686,2/5/09,2:00:00,670,Thu,Midtown,-84.38515,33.77535,Larceny-Non Vehicle,Larceny,754 Peachtree St Ne
90380727,2/6/09,17:00:00,640,Fri,Midtown,-84.37196,33.77375,Larceny-From Vehicle,Larceny,458 Ponce De Leon Ave Ne
90380533,2/6/09,23:00:00,511,Sat,Midtown,-84.37351,33.7747,Burglary-Residence,Burglary,418 4Th St Ne
90391146,2/6/09,0:00:00,670,Fri,Midtown,-84.38804,33.79478,Larceny-Non Vehicle,Larceny,Buford Hwy Nw / 19Th St Nw
90411022,2/7/09,16:30:00,710,Sat,Midtown,-84.37151,33.78119,Auto Theft,Auto Theft,929 Charles Allen Dr Ne @Grady High
90381105,2/7/09,2:00:00,720,Sat,Midtown,-84.37591,33.77774,Auto Theft,Auto Theft,345 7Th St Ne
90380827,2/7/09,1:30:00,670,Sat,Midtown,-84.37877,33.78476,Larceny-Non Vehicle,Larceny,1100 Piedmont Ave Ne
90390514,2/7/09,23:35:00,720,Sun,Midtown,-84.38103,33.78568,Auto Theft,Auto Theft,195 14Th Street
90381289,2/7/09,14:00:00,650,Sat,Midtown,-84.38402,33.78041,Larceny-From Vehicle,Larceny,943 Peachtree St Ne
90391264,2/8/09,15:00:00,640,Sun,Midtown,-84.37151,33.78119,Larceny-From Vehicle,Larceny,929 Charles Allen Dr Ne
90390068,2/8/09,0:05:00,311,Sun,Midtown,-84.3798,33.77414,Robbery-Pedestrian,Robbery,717 Myrtle St Ne
90400256,2/8/09,21:00:00,640,Mon,Midtown,-84.3814,33.7862,Larceny-From Vehicle,Larceny,199 14Th St Ne
90401929,2/9/09,19:00:00,640,Mon,Midtown,-84.3676,33.77973,Larceny-From Vehicle,Larceny,931 Monroe Dr Ne
90410467,2/9/09,11:00:00,640,Mon,Midtown,-84.38021,33.77187,Larceny-From Vehicle,Larceny,635 Myrtle St Ne
90432263,2/9/09,21:00:00,640,Tue,Midtown,-84.38103,33.78568,Larceny-From Vehicle,Larceny,195 14Th St Ne
90410411,2/9/09,19:00:00,640,Tue,Midtown,-84.3814,33.7862,Larceny-From Vehicle,Larceny,199 14Th St Ne
90402001,2/9/09,20:00:00,640,Mon,Midtown,-84.38153,33.78289,Larceny-From Vehicle,Larceny,175 11Th St Ne
90401988,2/9/09,20:30:00,640,Mon,Midtown,-84.38716,33.78864,Larceny-From Vehicle,Larceny,18 15Th St Ne
90480684,2/9/09,12:00:00,521,Unk,Midtown,-84.38789,33.7892,Burglary-Residence,Burglary,1270 West Peachtree St
90410862,2/10/09,11:00:00,640,Tue,Midtown,-84.37969,33.77734,Larceny-From Vehicle,Larceny,831 Myrtle St Ne
90410220,2/10/09,4:00:00,511,Tue,Midtown,-84.38074,33.78038,Burglary-Residence,Burglary,939 Piedmont Ave Ne
90431481,2/11/09,19:00:00,640,Unk,Midtown,-84.37905,33.78187,Larceny-From Vehicle,Larceny,250 10Th St Ne
90430545,2/11/09,23:00:00,640,Thu,Midtown,-84.37905,33.78187,Larceny-From Vehicle,Larceny,250 10Th St Ne
